date,firm_id,equity_price
2020-06-01,TSLA,59.87
2020-06-02,TSLA,58.77
2020-06-03,TSLA,58.86
2020-06-04,TSLA,57.63
2020-06-05,TSLA,59.04
2020-06-08,TSLA,63.33
2020-06-09,TSLA,62.71
2020-06-10,TSLA,68.34
2020-06-11,TSLA,64.86
2020-06-12,TSLA,62.35
2020-06-15,TSLA,66.06
2020-06-16,TSLA,65.48
2020-06-17,TSLA,66.12
2020-06-18,TSLA,66.93
2020-06-19,TSLA,66.73
2020-06-22,TSLA,66.29
2020-06-23,TSLA,66.79
2020-06-24,TSLA,64.06
2020-06-25,TSLA,65.73
2020-06-26,TSLA,63.98
2020-06-29,TSLA,67.29
2020-06-30,TSLA,71.99
2020-07-01,TSLA,74.64
2020-07-02,TSLA,80.58
2020-07-06,TSLA,91.44
2020-07-07,TSLA,92.66
2020-07-08,TSLA,91.06
2020-07-09,TSLA,92.95
2020-07-10,TSLA,102.98
2020-07-13,TSLA,99.8
2020-07-14,TSLA,101.12
2020-07-15,TSLA,103.07
2020-07-16,TSLA,100.04
2020-07-17,TSLA,100.06
2020-07-20,TSLA,109.53
2020-07-21,TSLA,104.56
2020-07-22,TSLA,106.16
2020-07-23,TSLA,100.87
2020-07-24,TSLA,94.47
2020-07-27,TSLA,102.64
2020-07-28,TSLA,98.43
2020-07-29,TSLA,99.94
2020-07-30,TSLA,99.17
2020-07-31,TSLA,95.38
2020-08-03,TSLA,99.0
2020-08-04,TSLA,99.13
2020-08-05,TSLA,99.0
2020-08-06,TSLA,99.31
2020-08-07,TSLA,96.85
2020-08-10,TSLA,94.57
2020-08-11,TSLA,91.63
2020-08-12,TSLA,103.65
2020-08-13,TSLA,108.07
2020-08-14,TSLA,110.05
2020-08-17,TSLA,122.38
2020-08-18,TSLA,125.81
2020-08-19,TSLA,125.24
2020-08-20,TSLA,133.46
2020-08-21,TSLA,136.67
2020-08-24,TSLA,134.28
2020-08-25,TSLA,134.89
2020-08-26,TSLA,143.54
2020-08-27,TSLA,149.25
2020-08-28,TSLA,147.56
2020-08-31,TSLA,166.11
2020-09-01,TSLA,158.35
2020-09-02,TSLA,149.12
2020-09-03,TSLA,135.67
2020-09-04,TSLA,139.44
2020-09-08,TSLA,110.07
2020-09-09,TSLA,122.09
2020-09-10,TSLA,123.78
2020-09-11,TSLA,124.24
2020-09-14,TSLA,139.87
2020-09-15,TSLA,149.92
2020-09-16,TSLA,147.25
2020-09-17,TSLA,141.14
2020-09-18,TSLA,147.38
2020-09-21,TSLA,149.8
2020-09-22,TSLA,141.41
2020-09-23,TSLA,126.79
2020-09-24,TSLA,129.26
2020-09-25,TSLA,135.78
2020-09-28,TSLA,140.4
2020-09-29,TSLA,139.69
2020-09-30,TSLA,143.0
2020-10-01,TSLA,149.39
2020-10-02,TSLA,138.36
2020-10-05,TSLA,141.89
2020-10-06,TSLA,137.99
2020-10-07,TSLA,141.77
2020-10-08,TSLA,141.97
2020-10-09,TSLA,144.67
2020-10-12,TSLA,147.43
2020-10-13,TSLA,148.88
2020-10-14,TSLA,153.77
2020-10-15,TSLA,149.63
2020-10-16,TSLA,146.56
2020-10-19,TSLA,143.61
2020-10-20,TSLA,140.65
2020-10-21,TSLA,140.88
